ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
meta_mOTU_v2_6905	Firmicutes	8.185481297699999	0.0001	0.0001	2.2625354237	13.7592029845	0.5817166536999999	0.5462914976	0.0001	8.6719403933	1.481213881
meta_mOTU_v2_6916	Firmicutes	5.3756958841	19.8990997497	20.8988678969	13.6665085366	15.5098774329	37.892388955	10.054229787799999	19.9566113096	42.368439146	8.913550404199999
meta_mOTU_v2_6926	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.33561763429999997	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6937	Firmicutes	1.3476708261	0.0001	0.837469987	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6986	Firmicutes	2.6952416523000005	1.4173727654	0.0001	2.2941042901	4.1798535794	0.0001	1.1197615718	0.0001	6.5616643774	0.0001
meta_mOTU_v2_7014	Firmicutes	1.3476708261	0.0001	0.8262489487	1.147102145	4.1976397648	0.5858611905	0.5567714699	1.3972980804	9.7774090337	0.0001
meta_mOTU_v2_7031	Firmicutes	2.6878979421	1.4507203599	1.6748399741	0.0001	1.0494849412	0.0001	0.0001	0.0001	1.0840800492	0.0001
meta_mOTU_v2_7056	Firmicutes	4.9322092237	1.4173727654	0.837469987	1.1365306967	1.0406293721	3.1765384472000004	0.5580309077	1.4422371999	1.0936940629	4.7273612367
meta_mOTU_v2_7061	Firmicutes	0.0001	1.4052593230000001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_7072	Firmicutes	0.0001	0.0001	1.6949828947	1.1339182123	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_7076	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.0985653059	0.0001
meta_mOTU_v2_7082	Actinobacteria	0.0001	0.0001	0.8623568573	0.0001	0.0001	1.1565148238	0.0001	0.0001	0.0001	0.0001
